,date,sentiment
864,2009-05-14,0.339
865,2009-05-15,0.245
866,2009-05-16,0.0
867,2009-05-17,-0.011
868,2009-05-18,0.095
869,2009-05-19,-0.148
870,2009-05-20,-0.003
871,2009-05-21,-0.097
872,2009-05-22,0.038
873,2009-05-23,-0.649
874,2009-05-24,-0.557
875,2009-05-25,0.064
876,2009-05-26,-0.072
877,2009-05-27,-0.069
878,2009-05-28,0.013
879,2009-05-29,-0.247
880,2009-05-30,0.0
881,2009-05-31,0.202
882,2009-06-01,-0.006
883,2009-06-02,0.152
884,2009-06-03,0.032
885,2009-06-04,-0.327
886,2009-06-05,0.0
887,2009-06-06,0.0
888,2009-06-07,0.0
889,2009-06-08,-0.169
890,2009-06-09,-0.069
891,2009-06-10,0.105
892,2009-06-11,0.169
893,2009-06-12,-0.035
894,2009-06-13,-0.128
895,2009-06-14,-0.271
896,2009-06-15,0.145
897,2009-06-16,0.002
898,2009-06-17,0.167
899,2009-06-18,-0.006
900,2009-06-19,-0.402
901,2009-06-20,0.0
902,2009-06-21,0.2
903,2009-06-22,-0.094
904,2009-06-23,0.055
905,2009-06-24,-0.226
906,2009-06-25,0.038
907,2009-06-26,0.0
908,2009-06-27,0.0
909,2009-06-28,-0.022
910,2009-06-29,0.283
911,2009-06-30,0.032
912,2009-07-01,0.239
913,2009-07-02,0.406
914,2009-07-03,0.421
915,2009-07-04,0.0
916,2009-07-05,-0.026
917,2009-07-06,0.149
918,2009-07-07,0.263
919,2009-07-08,-0.118
920,2009-07-09,0.016
921,2009-07-10,-0.003
922,2009-07-11,-0.554
923,2009-07-12,-0.586
924,2009-07-13,0.127
925,2009-07-14,0.184
926,2009-07-15,0.108
927,2009-07-16,-0.152
928,2009-07-17,-0.157
929,2009-07-18,0.309
930,2009-07-19,-0.052
931,2009-07-20,0.406
932,2009-07-21,0.313
933,2009-07-22,0.268
934,2009-07-23,0.385
935,2009-07-24,0.088
936,2009-07-25,0.0
937,2009-07-26,-0.296
938,2009-07-27,0.206
939,2009-07-28,0.326
940,2009-07-29,0.329
941,2009-07-30,0.423
942,2009-07-31,0.18
943,2009-08-01,0.117
944,2009-08-02,0.44
945,2009-08-03,-0.384
946,2009-08-04,-0.251
947,2009-08-05,-0.029
948,2009-08-06,0.253
949,2009-08-07,0.345
950,2009-08-08,0.0
951,2009-08-09,-0.67
952,2009-08-10,0.357
953,2009-08-11,-0.337
954,2009-08-12,-0.046
955,2009-08-13,-0.284
956,2009-08-14,0.043
957,2009-08-15,0.273
958,2009-08-16,0.448
959,2009-08-17,0.059
960,2009-08-18,0.302
961,2009-08-19,0.431
962,2009-08-20,0.279
963,2009-08-21,0.494
964,2009-08-22,0.0
965,2009-08-23,0.203
966,2009-08-24,0.289
967,2009-08-25,0.235
968,2009-08-26,0.139
969,2009-08-27,0.308
970,2009-08-28,-0.131
971,2009-08-29,-0.382
972,2009-08-30,-0.336
973,2009-08-31,0.084
974,2009-09-01,0.117
975,2009-09-02,-0.032
976,2009-09-03,0.223
977,2009-09-04,0.0
978,2009-09-05,0.0
979,2009-09-06,0.296
980,2009-09-07,0.449
981,2009-09-08,0.142
982,2009-09-09,-0.063
983,2009-09-10,-0.005
984,2009-09-11,0.275
985,2009-09-12,-0.294
986,2009-09-13,0.0
987,2009-09-14,0.466
988,2009-09-15,0.223
989,2009-09-16,0.111
990,2009-09-17,-0.194
991,2009-09-18,-0.254
992,2009-09-19,0.0
993,2009-09-20,0.0
994,2009-09-21,0.24
995,2009-09-22,0.321
996,2009-09-23,0.229
997,2009-09-24,0.069
998,2009-09-25,0.11
999,2009-09-26,0.0
1000,2009-09-27,0.031
1001,2009-09-28,0.196
1002,2009-09-29,0.23
1003,2009-09-30,0.303
1004,2009-10-01,0.127
1005,2009-10-02,0.559
1006,2009-10-03,0.0
1007,2009-10-04,0.402
1008,2009-10-05,0.329
1009,2009-10-06,0.216
1010,2009-10-07,-0.082
